timestamp,equity
1746334800000,10000.0
1746338400000,9771.623851999999
1746342000000,9771.623851999999
1746345600000,9430.087356700007
1746349200000,9430.087356700007
1746352800000,9236.498060800019
1746356400000,9236.498060800019
1746360000000,9188.92053080002
1746363600000,9188.92053080002
1746367200000,9311.611017500029
1746370800000,9311.611017500029
1746374400000,9095.52754990003
1746378000000,9095.52754990003
1746381600000,8966.489140400037
1746385200000,8966.489140400037
1746388800000,9000.272023700047
1746392400000,9000.272023700047
1746396000000,8245.146452500067
1746399600000,8245.146452500067
1746403200000,8590.926626200084
1746406800000,8590.926626200084
1746410400000,8815.278649600099
1746414000000,8815.278649600099
1746417600000,9094.8547936001
1746421200000,9094.8547936001
1746424800000,9025.443952100104
1746428400000,9025.443952100104
1746432000000,8738.297192200123
1746435600000,8738.297192200123
1746439200000,8202.294825300138
1746442800000,8202.294825300138
1746446400000,8401.948971300144
1746450000000,8401.948971300144
1746453600000,7961.976238100153
1746457200000,7961.976238100153
1746460800000,8301.054020900163
1746464400000,8301.054020900163
1746468000000,8428.115432300187
1746471600000,8428.115432300187
1746475200000,8236.573081300192
1746478800000,8236.573081300192
1746482400000,8465.617907200201
1746486000000,8465.617907200201
1746489600000,8239.654869900209
1746493200000,8239.654869900209
1746496800000,8180.689963900206
1746500400000,8180.689963900206
1746504000000,8199.604630300224
1746507600000,8199.604630300224
1746511200000,8261.300972200244
1746514800000,8261.300972200244
1746518400000,8156.706482200254
1746522000000,8156.706482200254
1746525600000,7791.9186588002685
1746529200000,7791.9186588002685
1746532800000,7837.758772800282
1746536400000,7837.758772800282
1746540000000,8280.200488200288
1746543600000,8280.200488200288
1746547200000,7855.3081203002985
1746550800000,7855.3081203002985
1746554400000,8313.427442400302
1746558000000,8313.427442400302
1746561600000,7923.966270300311
1746565200000,7923.966270300311
1746568800000,9377.914866300322
1746572400000,10000.0
1746576000000,10486.878733900028
1746579600000,10486.878733900028
1746583200000,9781.03169200004
1746586800000,9781.03169200004
1746590400000,9753.086374600063
1746594000000,9753.086374600063
